pair,token0,token1
0x124aa7d564348a4e5dbcd107da38bee3e0c27d1a,0x667102bd3413bfeaa3dffb48fa8288819e480a88,0xdac17f958d2ee523a2206206994597c13d831ec7
0xe46935ae80e05cdebd4a4008b6ccaa36d2845370,0x3593d125a4f7849a1b059e64f4517a86dd60c95d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x471b715cef115eabfcfc06e9230dd806975a0c91,0x6f49ee65d1f7953b8724c0c15e22ad189fecd579,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x29f92d88d36c72de658265e661549fd00bb7932c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd67e18ed798a9667e84595bf88c25ae163af7e0a
0x21dbe13307b28825a3e3316d9283ecd880882103,0x391883a5d2438716796336f2e420a92e52b45efe,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xddd23787a6b80a794d952f5fb036d0b31a8e6aff,0xa9e8acf069c58aec8825542845fd754e41a9489a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2b0ee16991a1a9638fefe4b6d7df1da9a38cbc78,0xbf2e353f5db1a01e4e7f051222c666afc81b2574,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x06a416f0213cee5e4a252d0dd7641a238bbc4ac3,0x13ce3b072e58bc49db03cd8627d8900fdd917f03,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xd5502ff2701855d23a32d2e6d20de80c9d4c8cc4,0x128f3e482f5bd5f08fe1b216e60ec0a6013deab9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x24b8c320a4505057cb1e4808d200535ec5320817,0x13e4b8cffe704d3de6f19e52b201d92c21ec18bd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xf39623cdbaf9994af5bc133e26d2e07d122de7d2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdb4909352502693635fb1bd68a1e960725c503ad
0x43de4318b6eb91a7cf37975dbb574396a7b5b5c6,0x38e68a37e401f7271568cecaac63c6b1e19130b4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x64bb1db38086ed11296ca104f64acb4fe491c441,0x968dc061290f76f90b3b939cc9380d47d79a54c5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x1b4b33b4c7307a2971e934302523ed084ded6a3f,0x8e0b3e3cb4468b6aa07a64e69deb72aea8eddc6f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2e7e978da0c53404a8cf66ed4ba2c7706c07b62a,0x5afe3855358e112b5647b952709e6165e1c1eeee,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
